first_name, last_name, orcid_id
George,Athanasopoulos,0000-0002-5389-2802
Catherine,Forbes,0000-0002-3456-7890
Farshid,Vahid-Araghi,NA
John,Stapleton,NA
Bonsoo,Koo,0000-0002-7247-9773
Bin,Peng,0000-0003-4231-4713
Damjan,Vukcevic,0000-0001-7780-9586
Jiti,Gao,0000-0002-4261-0021
Jackie,Li,0000-0001-8399-6584
Dianne,Cook,0000-0002-3813-7155
Xibin,Zhang,0000-0001-5813-3066
Natalia,Bailey,000-0003-2693-5632
Heather,Anderson,0000-0002-7668-1151
Robert,Brooks,NA
David,Frazier,NA
Rob,Hyndman,0000-0002-2140-5352
Brett,Inder,NA
Athanasios,Pantelous,0000-0001-5738-1471
Mervyn,Silvapulle,0000-0002-2808-7094
Param,Silvapulle,0000-0002-1149-4515
Xueyan,Zhao,0000-0002-5096-8787
Maxwell,King,NA
Gael,Martin,NA
Keith,McLaren,NA
Donald,Poskitt,NA
Alan,Powell,NA
Duangkamon,Chotikapanich,0000-0003-1011-9585
Otavio,Bartalotti,0000-0001-5151-3277
Ole,Maneesoonthorn,0000-0003-3479-0488
Andrew,Matthews,NA
Maziar,Nikpour,NA
Benjamin,Wong,0000-0002-1665-6165
Dan,Zhu,0000-0003-1487-2232
Ann,Maharaj,0000-0002-5513-962X
Ralph,Snyder,0000-0001-8941-5875
Klaus,Ackermann,0000-0001-7693-8538
Janjala,Chirakijja,0000-0001-8106-971X
Tissa,Galagedera,NA
Hamza,Hanbali,NA
Jack,Jewson,0000-0003-2703-7180
Charanjit,Kaur,0000-0001-9379-0010
Hsein,Kew,NA
Ruben,Loaiza Maya,NA
Michael,Lydeamore,0000-0001-6515-827X
Didier,Nibbering,NA
Geraldine,Roberts,NA
Rami,Tabri,0000-0003-4117-0498
Wei,Wei,0000-0001-8360-2469
Julie,Cook,NA
Jessica,Leung,0000-0002-3538-0790
Akanksha,Negi,0000-0003-2531-9408
Kate,Saunders,0000-0002-1436-7802
Shanika,Wickramasuriya,0000-0003-2742-5992
Joan,Tan,NA
Daniel,Melser,NA
Yu,Bai,NA
